-34.71	16.6	1.04	-0.25
-31.05	16.07	0.92	-0.19
-34.27	16.87	1.04	-0.15
-40.95	19.56	1.2	-0.29
-35.18	17.22	1.08	-0.21
-33.96	17.31	1.06	-0.2
-33.98	16.33	1	-0.24
-32.61	15.3	0.94	-0.25
-34.69	18.71	1.1	-0.18
-35.58	19.4	1.17	-0.19
-34.22	18.14	1.08	-0.21
-34.14	18.15	1.08	-0.2
-36.49	17.55	1.09	-0.25
-34.68	16.91	1.05	-0.22
-17.86	14.09	0.85	-0.18
-18.08	14.1	0.86	-0.2
-30.65	15.9	0.94	-0.24
-30.51	15.91	0.94	-0.23
-35.51	17.75	1.08	-0.22
-24.36	17.3	1.07	-0.3
-29.05	16.48	1.02	-0.24
-31.71	16.08	1	-0.19
-39.71	18.33	1.12	-0.27
-33.22	21.67	1.35	-0.18
-33.23	21.67	1.35	-0.18
-40.83	19.57	1.2	-0.28
-41.1	19.54	1.2	-0.3
-41.02	19.55	1.2	-0.3
-33.9	17.04	1.04	-0.2
-35.71	17.72	1.08	-0.23
-35.55	21.5	1.05	-0.11
-21.16	12.41	0.73	-0.25
-33.19	27.07	1.12	-0.07
-41.78	23.5	1.41	-0.22
-34.73	17.05	1.04	-0.28
-19.85	16.07	0.95	-0.24
-19.72	16.07	0.95	-0.23
-30.56	19.61	1.18	-0.22
-36.22	17.66	1.1	-0.22
-29.78	19.59	1.23	-0.2
-26.82	18.56	1.12	-0.17
-34.73	17.06	1.04	-0.28
-34.58	17.07	1.04	-0.27
-34.85	17.05	1.04	-0.29
-20.4	16.74	1.01	-0.07
-20.58	16.74	1.01	-0.08
-25.15	17.41	1.1	-0.19
-30.19	14.96	0.89	-0.26
-34.46	16.87	1.05	-0.17
-23.55	16.27	1	-0.36
-31.07	14.18	0.85	-0.31
-35.74	19.34	1.16	-0.21
-32.32	16.65	1.02	-0.22
-34.28	17.56	1.06	-0.21
-34.62	17.07	1.04	-0.27
-34.51	16.66	1.04	-0.29
-24.34	16.83	1.04	-0.29
-24.31	17.27	1.06	-0.3
-35.49	17.74	1.08	-0.22
-20.71	16.74	1.01	-0.09
-23.41	16.48	1.01	-0.33
-20.03	16.5	0.99	-0.2
-20.03	16.5	0.99	-0.2
-20.13	16.5	0.99	-0.21
-40.5	19.88	1.24	-0.26
-38.17	20.48	1.23	-0.16
-38.09	20.49	1.23	-0.16
-31.72	19.47	1.19	-0.38
-31.91	19.45	1.19	-0.4
-31.38	19.79	1.22	-0.36
-31.54	19.78	1.22	-0.38
-40.65	19.87	1.24	-0.27
-40.73	19.83	1.23	-0.29
-23.39	16.48	1.01	-0.33
-35.6	21.68	1.35	-0.19
-35.44	21.69	1.35	-0.17
-32.99	20.85	1.23	-0.18
-33.2	20.88	1.23	-0.19
-28.81	20.68	1.23	-0.17
-38.01	20.5	1.23	-0.15
-34.53	20.25	1.28	-0.23
-26.03	18.76	1.09	-0.24
-34.53	17.54	1.06	-0.23
-34.53	17.54	1.06	-0.23
-31.81	19.46	1.19	-0.39
-31.6	19.48	1.19	-0.37
-33.23	21.67	1.35	-0.18
-38.19	18.49	1.13	-0.21
-34.3	18.15	1.08	-0.21
-40.7	19.87	1.24	-0.28
-31.45	19.78	1.22	-0.37
-40.79	19.51	1.22	-0.28
-31.63	19.43	1.2	-0.37
-40.89	19.5	1.22	-0.29
-31.68	19.44	1.2	-0.39
-40.65	19.54	1.22	-0.27
-34.86	22.71	1.08	-0.23
-31.61	19.43	1.2	-0.38
-37.06	18.52	1.15	-0.23
-37.16	18.52	1.15	-0.24
-40.44	19.86	1.23	-0.26
-31.17	19.8	1.22	-0.34
-20.66	16.66	0.83	-0.16
